date,pacientes_uti_ultimo_dia,total_passengers
2021-03-30,4990.285714285715,3153920.5714285714
2021-03-31,4998.714285714285,3082767.1428571427
2021-04-01,5010.142857142857,3003434.4285714286
2021-04-02,5014.0,2739255.1428571427
2021-04-03,5011.285714285715,2736562.5714285714
2021-04-04,5009.0,2750732.285714286
2021-04-05,5002.0,2882339.0
2021-04-06,4994.428571428572,2992373.714285714
2021-04-07,4978.0,3100178.4285714286
2021-04-08,4944.0,3209312.0
2021-04-09,4903.0,3608150.0
2021-04-10,4842.571428571428,3665671.714285714
2021-04-11,4789.428571428572,3667475.714285714
2021-04-12,4731.428571428572,3694099.4285714286
2021-04-13,4655.142857142857,3730008.8571428573
2021-04-14,4584.428571428572,3752148.4285714286
2021-04-15,4527.428571428572,3766845.5714285714
2021-04-16,4462.142857142857,3784294.5714285714
2021-04-17,4413.142857142857,3783009.0
2021-04-18,4338.857142857143,3793193.714285714
2021-04-19,4280.0,3812819.714285714
2021-04-20,4243.428571428572,3841207.285714286
2021-04-21,4204.0,3515069.4285714286
2021-04-22,4147.714285714285,3535753.4285714286
2021-04-23,4096.428571428572,3553543.285714286
2021-04-24,4038.8571428571427,3574611.8571428573
2021-04-25,3997.0,3562850.8571428573
2021-04-26,3952.285714285714,3597983.5714285714
2021-04-27,3893.1428571428573,3632159.4285714286
2021-04-28,3842.285714285714,4005103.8571428573
2021-04-29,3809.0,3991678.1428571427
2021-04-30,3771.714285714286,4018732.1428571427
2021-05-01,3735.5714285714284,3959964.1428571427
2021-05-02,3705.5714285714284,3970888.714285714
2021-05-03,3677.8571428571427,3987977.0
2021-05-04,3666.8571428571427,3997658.8571428573
2021-05-05,3651.4285714285716,3965867.285714286
2021-05-06,3620.285714285714,3980001.285714286
2021-05-07,3600.4285714285716,4001758.4285714286
2021-05-08,3587.0,4092093.8571428573
2021-05-09,3571.714285714286,4099690.8571428573
2021-05-10,3555.8571428571427,4005855.8571428573
2021-05-11,3531.1428571428573,3935115.8571428573
